word,prediction
word,word
string,string
,
cow,cow
eat,string
grain,string
elephant,string
eat,grain
leaves,eat
goat,string
eat,leaves
grass,string
wolf,eat
eat,grass
rabbit,eat
cat,eat
likes,goat
ball,eat
elephant,eat
likes,ball
water,goat
sheep,
eat,rabbit
grass,wolf
cat,likes
eat,grass
salmon,elephant
wolf,eat
eat,grass
mice,elephant
lion,elephant
eat,grass
cow,eat
dog,lion
likes,water
sleep,eat
coyote,eat
eat,grass
mice,lion
coyote,eat
eat,mice
rodent,cow
coyote,eat
eat,mice
rabbit,cat
wolf,eat
eat,mice
squirrel,
cow,dog
eat,mice
grass,cat
frog,frog
eat,eat
flies,flies
cow,cow
eat,eat
grain,grain
elephant,elephant
eat,grass
leaves,leaves
goat,goat
eat,grass
grass,grass
wolf,wolf
eat,grass
rabbit,rabbit
sheep,sheep
eat,grass
grass,frog
cat,eat
eat,grass
salmon,salmon
wolf,eat
eat,grass
mice,mice
lion,lion
eat,grass
cow,eat
coyote,eat
eat,grass
mice,lion
elephant,likes
likes,sleep
water,sheep
cat,eat
likes,water
ball,elephant
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rodent
rabbit,wolf
wolf,eat
eat,mice
squirrel,cow
dog,likes
likes,ball
sleep,coyote
cat,likes
eat,mice
salmon,wolf
cat,eat
likes,sleep
ball,coyote
cow,eat
eat,salmon
grass,frog
fox,eat
eat,grass
word,string
string,
,cow
cow,eat
eat,grass
grain,elephant
elephant,likes
eat,grass
leaves,goat
goat,eat
eat,grass
grass,fox
wolf,eat
eat,grass
rabbit,wolf
cat,likes
likes,ball
ball,cow
elephant,eat
likes,ball
water,sheep
sheep,eat
eat,grass
grass,wolf
cat,likes
eat,grass
salmon,cat
wolf,eat
eat,grass
mice,lion
lion,eat
eat,grass
cow,eat
dog,likes
likes,ball
sleep,cat
coyote,eat
eat,grass
mice,lion
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,mice
rabbit,cat
wolf,eat
eat,mice
squirrel,dog
cow,eat
eat,mice
grass,wolf
frog,eat
eat,grass
flies,cow
cow,eat
eat,grass
grain,elephant
elephant,likes
eat,grass
leaves,goat
goat,eat
eat,grass
grass,frog
wolf,eat
eat,grass
rabbit,wolf
sheep,eat
eat,grass
grass,wolf
cat,eat
eat,grass
salmon,wolf
wolf,eat
eat,grass
mice,coyote
lion,eat
eat,grass
cow,eat
coyote,eat
eat,grass
mice,lion
elephant,eat
likes,ball
water,sheep
cat,eat
likes,water
ball,elephant
coyote,eat
eat,grass
rodent,coyote
coyote,eat
eat,grass
rabbit,cat
wolf,eat
eat,grass
squirrel,cow
dog,likes
likes,water
sleep,coyote
cat,likes
eat,grass
salmon,wolf
cat,eat
likes,sleep
ball,coyote
cow,eat
eat,grass
grass,cat
fox,eat
eat,grass
word,string
string,
,cow
cow,eat
eat,grass
grain,elephant
elephant,likes
eat,grass
leaves,goat
goat,eat
eat,grass
grass,fox
wolf,eat
eat,grass
rabbit,wolf
cat,likes
likes,ball
ball,cow
elephant,eat
likes,sleep
water,cat
sheep,eat
eat,grass
grass,wolf
cat,likes
eat,grass
salmon,cat
wolf,eat
eat,rabbit
mice,lion
lion,eat
eat,grass
cow,eat
dog,likes
likes,water
sleep,cat
coyote,eat
eat,rabbit
mice,lion
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rodent
rabbit,cat
wolf,eat
eat,mice
squirrel,dog
cow,eat
eat,grain
grass,wolf
frog,eat
eat,grass
flies,cow
cow,eat
eat,grass
grain,elephant
elephant,likes
eat,grass
leaves,goat
goat,eat
eat,grass
grass,frog
wolf,eat
eat,squirrel
rabbit,wolf
sheep,eat
eat,grass
grass,wolf
cat,eat
eat,salmon
salmon,cat
wolf,eat
eat,rabbit
mice,lion
lion,eat
eat,grass
cow,eat
coyote,eat
eat,rabbit
mice,lion
elephant,eat
likes,water
water,sheep
cat,eat
likes,ball
ball,elephant
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rodent
rabbit,wolf
wolf,eat
eat,mice
squirrel,cow
dog,likes
likes,sleep
sleep,coyote
cat,likes
eat,salmon
salmon,wolf
cat,eat
likes,ball
ball,coyote
cow,eat
eat,grain
grass,wolf
fox,eat
eat,grass
word,string
string,
,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,grass
leaves,goat
goat,eat
eat,grass
grass,fox
wolf,eat
eat,squirrel
rabbit,wolf
cat,likes
likes,ball
ball,cow
elephant,likes
likes,water
water,cat
sheep,eat
eat,grass
grass,wolf
cat,likes
eat,salmon
salmon,cat
wolf,eat
eat,rabbit
mice,lion
lion,eat
eat,grass
cow,eat
dog,likes
likes,sleep
sleep,cat
coyote,eat
eat,rabbit
mice,lion
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rodent
rabbit,wolf
wolf,eat
eat,mice
squirrel,dog
cow,eat
eat,grain
grass,cat
frog,eat
eat,cow
flies,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,grass
leaves,goat
goat,eat
eat,grass
grass,wolf
wolf,eat
eat,squirrel
rabbit,cat
sheep,eat
eat,grass
grass,wolf
cat,eat
eat,grass
salmon,wolf
wolf,eat
eat,grass
mice,lion
lion,eat
eat,flies
cow,eat
coyote,eat
eat,rabbit
mice,coyote
elephant,likes
likes,water
water,cat
cat,likes
likes,ball
ball,coyote
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,grass
rabbit,wolf
wolf,eat
eat,grass
squirrel,dog
dog,likes
likes,sleep
sleep,coyote
cat,likes
eat,salmon
salmon,wolf
cat,likes
likes,ball
ball,coyote
cow,eat
eat,grain
grass,frog
fox,eat
eat,cow
word,string
string,
,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,leaves
leaves,goat
goat,eat
eat,grass
grass,wolf
wolf,eat
eat,rabbit
rabbit,sheep
cat,likes
likes,ball
ball,elephant
elephant,likes
likes,water
water,cat
sheep,eat
eat,grass
grass,cat
cat,likes
eat,salmon
salmon,cat
wolf,eat
eat,grass
mice,lion
lion,eat
eat,mice
cow,eat
dog,likes
likes,sleep
sleep,coyote
coyote,eat
eat,rodent
mice,elephant
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rabbit
rabbit,wolf
wolf,eat
eat,squirrel
squirrel,cow
cow,eat
eat,grain
grass,wolf
frog,eat
eat,word
flies,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,grass
leaves,goat
goat,eat
eat,grass
grass,wolf
wolf,eat
eat,grass
rabbit,cat
sheep,eat
eat,grass
grass,cat
cat,eat
eat,mice
salmon,wolf
wolf,eat
eat,mice
mice,lion
lion,eat
eat,cow
cow,eat
coyote,eat
eat,rodent
mice,lion
elephant,likes
likes,water
water,cat
cat,likes
likes,ball
ball,elephant
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rabbit
rabbit,wolf
wolf,eat
eat,squirrel
squirrel,cow
dog,likes
likes,sleep
sleep,coyote
cat,likes
eat,salmon
salmon,wolf
cat,likes
likes,ball
ball,coyote
cow,eat
eat,grain
grass,frog
fox,eat
eat,flies
word,string
string,
,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,leaves
leaves,goat
goat,eat
eat,grass
grass,wolf
wolf,eat
eat,rabbit
rabbit,wolf
cat,likes
likes,ball
ball,cow
elephant,eat
likes,water
water,sheep
sheep,eat
eat,grass
grass,cat
cat,eat
eat,salmon
salmon,cat
wolf,eat
eat,mice
mice,lion
lion,eat
eat,cow
cow,eat
dog,likes
likes,sleep
sleep,cat
coyote,eat
eat,rodent
mice,lion
coyote,eat
eat,mice
rodent,coyote
coyote,eat
eat,rabbit
rabbit,wolf
wolf,eat
eat,grass
squirrel,dog
cow,eat
eat,grain
grass,fox
frog,eat
eat,word
flies,cow
cow,eat
eat,grass
grain,elephant
elephant,eat
eat,leaves
leaves,goat
goat,eat
eat,grass
grass,wolf
wolf,eat
eat,rabbit
rabbit,cat
sheep,eat
eat,grass
grass,cat
cat,eat
eat,salmon
salmon,wolf
wolf,eat
eat,mice
